City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Constitucion,CL,2021-11-07 06:37:16,-35.3333,-72.4167,49.46,91,44,5.03,scattered clouds
60,Upernavik,GL,2021-11-07 06:38:46,72.7868,-56.1549,12.04,84,89,5.39,overcast clouds
61,Arraial Do Cabo,BR,2021-11-07 06:33:42,-22.9661,-42.0278,67.75,78,17,5.26,few clouds
62,Turinsk,RU,2021-11-07 06:46:00,58.0458,63.696,37.51,77,100,14.85,overcast clouds
63,Zonguldak,TR,2021-11-07 06:46:00,41.25,31.8333,49.05,54,100,2.21,overcast clouds
64,Bluff,NZ,2021-11-07 06:37:31,-46.6,168.3333,58.8,80,66,12.93,broken clouds
65,Manggar,ID,2021-11-07 06:46:01,-2.8833,108.2667,84.52,72,87,3.24,overcast clouds
66,Cape Town,ZA,2021-11-07 06:37:44,-33.9258,18.4232,64.11,63,0,4.0,clear sky
67,Fortuna,US,2021-11-07 06:38:11,40.5982,-124.1573,47.35,69,90,5.01,overcast clouds
68,Isangel,VU,2021-11-07 06:37:52,-19.55,169.2667,75.31,69,100,8.05,overcast clouds
69,Ribeira Grande,PT,2021-11-07 06:38:28,38.5167,-28.7,69.66,87,21,26.98,few clouds
70,Tateyama,JP,2021-11-07 06:46:02,34.9833,139.8667,68.02,73,100,13.31,light rain
71,Wahiawa,US,2021-11-07 06:44:41,21.5028,-158.0236,75.52,71,40,8.05,scattered clouds
72,Biltine,TD,2021-11-07 06:46:02,14.5333,20.9167,85.24,16,0,12.62,clear sky
73,East London,ZA,2021-11-07 06:37:25,-33.0153,27.9116,63.54,100,90,8.05,light rain
74,Qaanaaq,GL,2021-11-07 06:38:27,77.484,-69.3632,5.41,70,51,6.4,broken clouds
75,Port Hardy,CA,2021-11-07 06:40:16,50.6996,-127.4199,44.6,100,40,3.44,light rain
76,Yeppoon,AU,2021-11-07 06:41:06,-23.1333,150.7333,83.98,68,100,15.75,overcast clouds
77,Kloulklubed,PW,2021-11-07 06:39:39,7.0419,134.2556,84.7,73,95,11.77,overcast clouds
78,Huntsville,US,2021-11-07 06:44:09,34.7304,-86.5861,44.46,89,1,1.01,mist
79,Surskoye,RU,2021-11-07 06:46:03,54.4821,46.7214,41.76,84,100,19.93,overcast clouds
80,Faanui,PF,2021-11-07 06:46:03,-16.4833,-151.75,79.92,73,95,9.69,overcast clouds
81,Hammerfest,NO,2021-11-07 06:46:04,70.6634,23.6821,30.65,69,20,4.61,light snow
82,Farafangana,MG,2021-11-07 06:46:04,-22.8167,47.8333,76.59,76,82,10.92,light rain
83,Kaitangata,NZ,2021-11-07 06:37:41,-46.2817,169.8464,56.93,73,88,2.8,overcast clouds
84,Lavrentiya,RU,2021-11-07 06:39:47,65.5833,-171.0,10.29,95,100,5.82,overcast clouds
85,Muyezerskiy,RU,2021-11-07 06:46:05,63.9333,31.65,32.2,94,96,5.03,overcast clouds
86,Chililabombwe,ZM,2021-11-07 06:46:05,-12.3648,27.8229,83.55,23,18,9.44,few clouds
87,Prainha,BR,2021-11-07 06:46:05,-1.8,-53.48,73.04,97,96,0.76,overcast clouds
88,Meulaboh,ID,2021-11-07 06:38:09,4.1363,96.1285,81.55,83,100,10.38,light rain
89,Muzhi,RU,2021-11-07 06:46:06,65.3667,64.6667,36.52,98,100,15.01,overcast clouds
90,Puerto Ayora,EC,2021-11-07 06:37:22,-0.7393,-90.3518,68.52,80,27,8.61,scattered clouds
91,Oga,IT,2021-11-07 06:46:06,46.4631,10.347,23.68,57,0,0.72,clear sky
92,Bathsheba,BB,2021-11-07 06:40:36,13.2167,-59.5167,81.21,78,40,14.97,scattered clouds
93,Gazojak,TM,2021-11-07 06:46:07,41.1875,61.4036,44.76,14,6,3.04,clear sky
94,Yaan,NG,2021-11-07 06:39:08,7.3833,8.5667,75.74,85,100,3.51,overcast clouds
95,Miri,MY,2021-11-07 06:46:07,4.4148,114.0089,87.94,74,40,6.91,scattered clouds
96,Grindavik,IS,2021-11-07 06:46:08,63.8424,-22.4338,35.55,93,75,6.91,broken clouds
97,Luderitz,NA,2021-11-07 06:38:26,-26.6481,15.1594,65.71,50,100,19.82,overcast clouds
