City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Keti Bandar,PK,87.87,clear sky,24.1447,67.4497,Haji laloo memon house
362,Lamu,KE,86.22,clear sky,-2.2717,40.902,Lamu House
363,Dingle,PH,84.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
370,Pedernales,DO,77.83,few clouds,18.0384,-71.744,Hotel Costa Marina
374,Tezu,IN,81.55,overcast clouds,27.9167,96.1667,Circuit House
376,Eyl,SO,84.58,clear sky,7.9803,49.8164,Amiin Hotel
378,Porto Novo,BJ,76.82,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
383,Buta,CD,79.27,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
385,Tutoia,BR,79.59,overcast clouds,-2.7619,-42.2744,Pousada Guará's
386,Lakatoro,VU,79.38,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
389,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
390,Grand Gaube,MU,81.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
395,Coruripe,BR,76.35,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
399,Port-Gentil,GA,76.96,moderate rain,-0.7193,8.7815,Fengshui Residence
401,Kudat,MY,87.73,few clouds,6.8837,116.8477,Dream Garden Hotel
407,Port Augusta,AU,77.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
409,Arlit,NE,80.78,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
411,Mahibadhoo,MV,81.99,few clouds,3.7833,72.9667,Omadhoo Inn
427,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
435,Soure,BR,79.66,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
438,Buchanan,LR,75.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
443,Beira,MZ,84.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
444,Kendari,ID,87.49,few clouds,-3.945,122.4989,Hotel Wixel
445,Komatipoort,ZA,84.06,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
449,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
451,Tual,ID,84.96,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
452,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
453,Victoria Point,AU,77.22,overcast clouds,-27.5833,153.3,Bay Retreat Motel
458,Tera,NE,83.16,overcast clouds,14.0078,0.7531,Hotel Dar es salam
459,Gizo,SB,85.08,broken clouds,-8.103,156.8419,Imagination Island
463,Trairi,BR,78.48,few clouds,-3.2778,-39.2689,janelas do mar
465,Dwarka,IN,84.72,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
470,Bayabas,PH,79.9,broken clouds,16.45,120.5167,Pooten's Hot Spring Resort
477,Dibrugarh,IN,84.25,few clouds,27.4833,94.9,Hotel Tea City
480,Bosaso,SO,82.38,clear sky,11.2842,49.1816,Red Sea Hotel
481,Kisangani,CD,78.53,overcast clouds,0.5167,25.2,Grand Ramela Hotel
482,Hoi An,VN,85.96,clear sky,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
484,Kieta,PG,82.67,clear sky,-6.2167,155.6333,Uruna Bay Retreat
491,Maun,BW,78.76,broken clouds,-19.9833,23.4167,Enviro Villa
492,Buala,SB,82.53,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
495,Axim,GH,78.53,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
496,Sinnamary,GF,77.13,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
498,Iralaya,HN,75.74,overcast clouds,15.0,-83.2333,Iglesia morava renovada
499,Morondava,MG,83.17,clear sky,-20.2833,44.2833,La Case Bambou
503,Veraval,IN,87.21,scattered clouds,20.9,70.3667,Lords Inn Somnath
508,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
510,Takoradi,GH,77.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
511,Conakry,GN,75.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
512,Tura,IN,78.03,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
515,Male,MV,87.75,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
519,Cabinda,AO,77.14,scattered clouds,-5.55,12.2,Hotel Maiombe
520,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
524,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
525,Itarema,BR,77.65,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
528,Tuy Hoa,VN,81.84,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
529,Ruangwa,TZ,86.74,overcast clouds,-10.0667,38.9333,Pivava lodge
541,Ayorou,NE,82.9,few clouds,14.7308,0.9174,Hotel Amenokal
543,Zvishavane,ZW,89.01,few clouds,-20.3267,30.0665,Hotel Boutique Runde
544,Port Keats,AU,89.4,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
552,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
556,Pringsewu,ID,87.4,overcast clouds,-5.3582,104.9744,Urban Style by Front One
557,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
559,Wajir,KE,82.36,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
560,Corn Island,NI,80.73,overcast clouds,12.1694,-83.0418,Big Fish Guest House
566,Cap Malheureux,MU,81.09,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
581,Pipar,IN,87.73,clear sky,26.3856,73.5378,Aadam Mansion
598,Porbandar,IN,84.18,few clouds,21.6422,69.6093,Lords Inn Porbandar
600,Beniganj,IN,80.31,scattered clouds,27.2833,80.45,ADARS JAN SEVA KENDRA
601,Nelson Bay,AU,75.76,light rain,-32.7167,152.15,Mantra Nelson Bay
604,Akyab,MM,82.65,clear sky,20.15,92.9,Hotel Memory
605,Manavalakurichi,IN,84.29,moderate rain,8.1333,77.3,Udaya Boys Hostel
609,Waingapu,ID,88.07,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
613,Binga,ZW,89.22,clear sky,-17.6203,27.3414,Lakeview Inn Binga
614,Orocue,CO,75.04,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
615,Alugan,PH,82.85,overcast clouds,12.2188,125.4808,JM Lodge
621,Kavaratti,IN,81.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
627,Prabumulih,ID,85.64,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
640,Lumphat,KH,89.28,few clouds,13.4878,106.9816,Lumphat Homestay
642,Pipri,IN,82.98,haze,19.8,75.5333,Sukhana River nilu and rushi home
651,Sambava,MG,83.05,scattered clouds,-14.2667,50.1667,Melrose
657,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
664,Shakawe,BW,86.47,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
666,Chongwe,ZM,89.04,clear sky,-15.3292,28.682,Grakas Lodge
672,Bartica,GY,75.52,moderate rain,6.4,-58.6167,Sloth Island Nature Resort
674,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
678,Byron Bay,AU,80.71,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
680,Sao Jose Da Coroa Grande,BR,77.59,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
701,Mecca,SA,86.49,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
709,Bulawayo,ZW,87.15,scattered clouds,-20.15,28.5833,4 On Housman Backpackers
